,Unnamed: 0,model,sim,additional_data,3G,4G,5G,Wi-Fi,VoLTE,Vo5G,NFC,extra_conecctions
200,200,OPPO A77s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
201,201,Samsung Galaxy A13,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
204,204,Motorola Moto G52 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
208,208,Tecno Pova 4,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
217,217,Tecno Pova 3,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
219,219,Samsung Galaxy A04e,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
224,224,Xiaomi Redmi Note 11 (6GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
225,225,Vivo Y02,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
226,226,POCO C31 (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
232,232,Vivo T1x 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
233,233,Xiaomi Redmi 10 Power,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
235,235,Vivo T1 44W,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
237,237,Vivo Y16 (3GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
239,239,Vivo Y75 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
241,241,OPPO A57 4G (4GB RAM + 64 GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
246,246,OPPO F21s Pro 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
250,250,Motorola Moto G31,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
252,252,Infinix Zero 20,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
259,259,Motorola Moto G23,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
